fid,X,Y,id,Average costmers per day,Kg N,Kg P/year
1,12.8875049,45.8039985,node/30407614,3000,674.52,67.452
2,12.6023585,42.1348639,way/37013545,3000,674.52,67.452
3,11.1740711,43.8191479,way/76738870,3000,674.52,67.452
4,10.8265424,45.4176736,way/160239371,3000,674.52,67.452
5,10.8475026,44.7033725,way/167388372,3000,674.52,67.452
6,8.3598334,44.225043,way/202601177,3000,674.52,67.452
7,11.7748459,43.2469162,way/204722291,3000,674.52,67.452
8,11.7741679,43.2457469,way/204722292,3000,674.52,67.452
9,9.6527911,45.0605841,way/288223146,3000,674.52,67.452
10,9.1985386,45.5707713,node/305081133,3000,674.52,67.452
11,10.3019618,45.4877804,way/420344087,3000,674.52,67.452
12,10.3074371,45.4851344,way/461666801,3000,674.52,67.452
13,10.6170593,43.6422797,way/539707223,3000,674.52,67.452
14,8.6569719,45.4687845,way/549288057,3000,674.52,67.452
15,12.2080504,44.4188754,node/550053934,3000,674.52,67.452
16,10.3751509,45.4708311,way/620108992,3000,674.52,67.452
17,9.0750756,45.4457984,way/960679449,3000,674.52,67.452
18,8.5093407,45.0739306,node/963236920,3000,674.52,67.452
19,11.267167,45.408193,way/1323096340,3000,674.52,67.452
20,9.9274919,44.3126365,node/1362334534,3000,674.52,67.452
21,9.0390457,45.5092818,node/1747624423,3000,674.52,67.452
22,10.3780226,44.8263053,node/1929510004,3000,674.52,67.452
23,9.1893982,45.3914598,node/2282914895,3000,674.52,67.452
24,9.0591845,39.2530296,node/2310429921,3000,674.52,67.452
25,11.8833619,44.2931851,node/2331104401,3000,674.52,67.452
26,13.3848342,42.351323,node/2969859563,3000,674.52,67.452
27,8.6079813,44.9084282,node/3456136029,3000,674.52,67.452
28,12.5023541,41.9016306,node/3485963126,3000,674.52,67.452
29,8.8520518,44.9341161,node/3703635454,3000,674.52,67.452
30,12.5022816,41.9014957,node/4843794221,3000,674.52,67.452
31,15.5607803,38.1852525,node/7237111020,3000,674.52,67.452
32,14.7725493,40.6750651,node/10237862152,3000,674.52,67.452
33,13.9401711,42.6702029,node/13249270994,3000,674.52,67.452
34,7.6666267,45.0728124,node/5117627173,3000,674.52,67.452
35,8.347077,45.455298,node/11898825742,3000,674.52,67.452
36,8.8533119,44.9333527,node/10655781665,3000,674.52,67.452
37,9.1445257,45.1885946,node/4300858898,3000,674.52,67.452
38,8.5005222,45.6615711,node/4730516132,3000,674.52,67.452
39,9.1728546,45.4591599,node/5365452511,3000,674.52,67.452
40,9.031126,45.62509,node/10793792458,3000,674.52,67.452
41,10.0540793,45.1292483,node/6112718352,3000,674.52,67.452
42,9.6349776,45.5116854,node/11183471694,3000,674.52,67.452
43,8.8332707,45.818218,node/7845550600,3000,674.52,67.452
44,11.4638557,43.6503704,node/12460600641,3000,674.52,67.452
45,11.3445911,44.5068326,node/11726698814,3000,674.52,67.452
46,11.8465526,44.3419199,node/12776754573,3000,674.52,67.452
47,11.8463986,44.3420494,node/12776754580,3000,674.52,67.452
48,12.2988544,45.6080823,node/10772030767,3000,674.52,67.452
49,13.7219905,43.2855902,node/12954326355,3000,674.52,67.452
50,14.2697263,40.8524375,,3000,674.52,67.452
51,14.3309134,40.9318281,,3000,674.52,67.452